cluster,sequence
Cluster 1,CCCCCCCCCCBHDDDDDHDDDDDDDDDDDHDDDDDDDBCCCCCCCCCC
Cluster 2,FFFFFFFFHCCCCCCCCCCCCCCCCCCCCCBDDDHFFFFFFFFFFFFF
Cluster 3,CCCCCCCCBHEEEEEEEHEEEEEEEEDDDDDHDDDBCCCCCCCCCCCC
Cluster 4,CCCCCCBMMMMMMMMMMHMMMMMMMMDDDDDHDDDDCCCCCCCCCCCC
Cluster 5,CCCCCCBHFFFFFFFFFHFFFFFFFFFFFFHHDDDDDCCCCCCCCCCC
Cluster 6,CCCBHFFFFFFFFFFFFHFFFFFFFFHDDDDDDDDCCCCCCCCCCCCC
Cluster 7,CCCCCCCCCCCCCCHDDDDFFFFFFFFFFFFFFFFFFFFFHBCCCCCC
otherCare,CCCCCCCCBHIIIIIIIHIIIIIIIIDDDDDHDDDBCCCCCCCCCCCC
otherVolunteer,CCCCCCCCBHNNNNNNNHNNNNNNNNDDDDDHDDDBCCCCCCCCCCCC
otherReligious,CCCCCCCCBHOOOOOOOHOOOOOOOODDDDDHDDDBCCCCCCCCCCCC
